fof_halo_tag,A1,A0,B1,B0,C1,C0,D1,D0
667821145926,True,False,True,False,True,False,True,False
516354203516,True,False,True,False,False,True,False,True
792596275762,True,False,True,False,False,True,False,True
907830382840,True,False,False,True,False,True,False,True
898944989076,True,False,True,False,False,True,False,True
560166571712,False,True,False,False,False,False,False,False
529051022960,True,False,True,False,True,False,True,False
711000868930,True,False,True,False,False,True,False,True
519524617440,True,False,True,False,False,True,False,True
620818083852,False,True,False,False,False,False,False,False
506839945058,True,False,True,False,True,False,True,False
605579568068,True,False,True,False,True,False,True,False
644635636846,False,True,False,False,False,False,False,False
1216756951626,True,False,True,False,True,False,False,True
1024984976410,False,True,False,False,False,False,False,False
1113894910816,True,False,True,False,True,False,True,False
1081189368966,False,True,False,False,False,False,False,False
1379024893224,True,False,True,False,True,False,True,False
1243094733444,True,False,True,False,True,False,True,False
1254537750686,True,False,True,False,True,False,False,True
1464724323024,True,False,True,False,False,True,False,True
1357730541020,False,True,False,False,False,False,False,False
1317089442738,True,False,True,False,True,False,True,False
1307868738426,False,True,False,False,False,False,False,False
1407251288422,True,False,True,False,True,False,True,False
1362492863312,True,False,True,False,True,False,True,False
1012287126678,True,False,True,False,True,False,True,False
1134525775712,False,True,False,False,False,False,False,False
1029752970102,True,False,True,False,False,True,False,True
1109448978878,True,False,True,False,True,False,True,False
1127867104078,True,False,False,True,True,False,False,True
1338691714046,True,False,True,False,False,True,True,False
1335191611382,True,False,True,False,True,False,True,False
1429506719164,True,False,False,True,True,False,True,False
1546007828588,True,False,True,False,False,True,True,False
1708897554146,True,False,True,False,True,False,True,False
1759381143194,False,True,False,False,False,False,False,False
1836231994864,True,False,True,False,True,False,True,False
1853700358330,True,False,True,False,False,True,False,True
1588903823042,True,False,True,False,True,False,True,False
1491745323954,True,False,True,False,True,False,False,True
1542856972802,True,False,False,True,False,True,True,False
1568256808624,True,False,True,False,True,False,True,False
1531432653418,False,True,False,False,False,False,False,False
1511427734450,True,False,True,False,False,True,False,True
1819741291766,False,True,False,False,False,False,False,False
1626340440678,True,False,True,False,True,False,True,False
1511718644442,True,False,True,False,True,False,False,True
1803522624122,True,False,True,False,False,True,True,False
1633360455674,True,False,True,False,False,True,True,False
1865787438648,True,False,True,False,True,False,True,False
1802907215472,True,False,True,False,False,True,True,False
1105329129446,True,False,True,False,False,True,True,False
1061835214826,False,True,False,False,False,False,False,False
1212019100600,True,False,True,False,False,True,False,True
1051683545812,True,False,True,False,True,False,True,False
1263140096470,True,False,True,False,True,False,True,False
1429530631800,True,False,True,False,False,True,True,False
1406336829294,True,False,True,False,False,True,False,True
1102185757232,True,False,True,False,True,False,True,False
1423183709534,True,False,False,True,False,True,True,False
1476862682668,True,False,True,False,True,False,True,False
1428594729470,True,False,True,False,False,True,False,True
1412401310560,True,False,True,False,True,False,True,False
1051354208722,True,False,True,False,True,False,True,False
1377460503426,True,False,True,False,False,True,True,False
1312359605170,True,False,False,True,True,False,False,True
1351415119458,False,True,False,False,False,False,False,False
1168540231516,True,False,True,False,False,True,True,False
1094883504208,True,False,True,False,True,False,True,False
1311423096966,True,False,True,False,False,True,True,False
1401928771042,True,False,True,False,False,True,False,True
1277130786352,True,False,True,False,False,True,False,True
1412078046614,True,False,True,False,True,False,False,True
1508586837998,True,False,True,False,False,True,True,False
1516844499972,True,False,True,False,False,True,False,True
1682588830586,False,True,False,False,False,False,False,False
1754993345132,False,True,False,False,False,False,False,False
1828642133250,False,True,False,False,False,False,False,False
1808009759610,True,False,True,False,True,False,True,False
1956291020656,True,False,True,False,True,False,False,True
1505428243986,True,False,True,False,False,True,False,True
1530831028762,True,False,True,False,True,False,False,True
1550841189280,True,False,True,False,True,False,True,False
1827386392028,False,True,False,False,False,False,False,False
1778173261906,True,False,True,False,False,True,True,False
1788973981808,True,False,True,False,False,True,False,True
1759454701494,True,False,True,False,True,False,True,False
1826450488876,True,False,True,False,True,False,True,False
1961399614022,True,False,True,False,False,True,True,False
1965833806776,True,False,True,False,False,True,True,False
1506691924324,True,False,True,False,False,True,False,True
1724492879248,True,False,False,True,False,True,False,True
1816577735504,True,False,True,False,False,True,True,False
1821347491038,True,False,True,False,False,True,False,True
1768648873034,True,False,True,False,False,True,False,True
1821048115006,True,False,True,False,False,True,False,True
1879147093730,True,False,True,False,False,True,True,False
1199286147560,True,False,True,False,True,False,True,False
1199285341748,True,False,True,False,True,False,True,False
1382173358354,True,False,True,False,False,True,True,False
1057052987852,True,False,True,False,False,True,False,True
1235818335730,True,False,True,False,False,True,True,False
1193260551202,True,False,True,False,False,True,False,True
1321220127658,True,False,False,True,True,False,False,True
1298050063494,True,False,True,False,False,True,False,True
1311394244214,True,False,True,False,False,True,False,True
1477134039308,True,False,True,False,False,True,False,True
1466663061524,True,False,False,True,True,False,True,False
1325667651222,True,False,True,False,False,True,False,True
1333612908740,True,False,True,False,True,False,True,False
