# Halo group IDs for phase6_stacked_profiles_comprehensive.png
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07 (R1), delta2<0.07 (R2),
#             K_core<150 keV cm2 (R3), TPI>0 (R4)
# Columns: row_index  fof_halo_tag  unique_tag  delta1  delta2  K_core  TPI
#

# ── R1  (4,640 halos) ──────────────────────────────
# Description: All DM-relaxed halos (delta1 < 0.07)
# N = 4,640
#  row_index    fof_halo_tag      unique_tag     delta1     delta2      K_core        TPI
         172   1467274361502   1467274361502    0.02342    0.01350     103.272     1.4351
         180   1295829060122   1295829060122    0.01071    0.01927      67.214     2.7218
         183   1544108455110   1544108455110    0.04284    0.01746      79.711     1.3751
         185   1644456618040   1644456618040    0.01867    0.02285     116.754     0.1927
         186   1705433209384   1705433209384    0.06728    0.01782     170.596     0.2789
         189   1779417512512   1779417512512    0.04213    0.04080     131.571     1.1024
         191   1871815908180   1871815908180    0.03338    0.03432     101.993     1.6256
         193   1627612764056   1627612764056    0.05753    0.02474     173.361     0.1499
         194   1963546253256   1963546253256    0.05561    0.02108     128.993     1.0254
         202   1143148810170   1143148810170    0.04047    0.04221     124.047     0.5280
         206   1079301536822   1079301536822    0.04715    0.05315     102.674     0.1292
         210   1192663939166   1192663939166    0.01860    0.03238      91.445     1.9791
         211   1025325229616   1025325229616    0.06596    0.05033    4836.527    -1.3082
         212   1011994706902   1011994706902    0.06192    0.02816     204.997     0.1971
         214   1309186950150   1309186950150    0.06301    0.02716     143.856    -2.5694
         215   1026615543892   1026615543892    0.01598    0.02000     133.029     0.1134
         216   1052646792310   1052646792310    0.06042    0.05650      93.861     1.6472
         217   1205049688798   1205049688798    0.00653    0.00910     150.266     0.0018
         218   1179340825622   1179340825622    0.02784    0.03741     110.183     0.8285
         219   1281255673082   1281255673082    0.03344    0.09231     231.843    -1.4303
         221   1317461924196   1317461924196    0.01851    0.02398      79.857     1.3692
         229   1945833498280   1945833498280    0.03794    0.01451     176.297     0.0483
         232   1722594487440   1722594487440    0.04381    0.02914     130.343     0.8650
         234   1672138594180   1672138594180    0.04994    0.04675     227.156    -0.7100
         235   1766436010838   1766436010838    0.03713    0.03326     101.850     0.0055
