# Full shortlist: 30 extreme halos per group (32 groups total)
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07 (R1), delta2<0.07 (R2), K_core<150 keV cm2 (R3), TPI>0 (R4)
# N per group: 30
#
# SECTION 1: Individual criteria (8 groups)
# SECTION 2: Pairwise criteria (24 groups: pairs {R1,R2},{R1,R3},{R1,R4},{R2,R3},{R2,R4},{R3,R4})
#

# ── R1  (group size: 4,640; showing 30 extreme) ─────────────────
# DM-relaxed (delta1 < 0.07); sorted by smallest delta_1
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
    14      7558    224044246108    224044246108   0.13491   0.00402    179.595   -3.0139
    15      2812    286646397208    286646397208   0.03747   0.00406     58.003    0.9946
    16      8269    553644351104    553644351104   0.44808   0.00406    262.814   -0.7325
    17      6854   3652886455560   3652886455560   0.09550   0.00423    218.717   -0.1718
    18      7906    570510856100    570510856100   0.84727   0.00434    205.895   -0.6639
    19      8016   1187524032230   1187524032230   0.02457   0.00435    123.351    4.4338
    20      9317   3666041913306   3666041913306   0.16119   0.00445     86.434    1.2746
    21      7372   3143596298046   3143596298046   0.09758   0.00445    258.776    0.3799
    22      1617   2051003557800   2051003557800   0.13347   0.00454    244.485   -3.3478
    23      1300   2024555251016   2024555251016   0.10155   0.00474    107.402    1.3606
    24      4142   2327990293922   2327990293922   0.02417   0.00477    104.202    0.6622
    25      4454   2482863955748   2482863955748   0.02758   0.00479     71.579    1.6692
    26      3027   1226874198964   1226874198964   0.01389   0.00483    138.653    1.6840
    27      5313    119179406736    119179406736   0.18156   0.00489    173.733   -1.0547
    28      5985    587224153324    587224153324   0.01991   0.00494    156.053    0.5769
    29      8819   2478407342554   2478407342554   0.02726   0.00497    192.483    0.3147
    30      8087   1067803195820   1067803195820   0.02179   0.00498     61.858    2.0720

# ── notR2  (group size: 1,748; showing 30 extreme) ─────────────────
# Gas-displaced (delta2 >= 0.07); sorted by largest delta_2
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      5512   1830630173556   1830630173556   0.36274   0.31662    170.397   -3.6328
     2       941    492882069908    492882069908   0.61987   0.26508    365.889   -5.1485
     3      7835    537170245042    537170245042   0.18319   0.25075     75.845   -1.4487
     4      1500   3392414101224   3392414101224   0.39833   0.23436    167.249   -1.8536
     5      3110   1550126369846   1550126369846   0.22118   0.20719     97.997   -2.1695
     6      8733   1887641330074   1887641330074   0.19078   0.20624    114.343   -0.2143
     7       953     14716077308     14716077308   0.18014   0.20589    344.428    1.5801
     8      3814   2740434077594   2740434077594   0.31603   0.19942    231.968   -3.4908
     9      1518   3067952532880   3067952532880   0.17316   0.19884    119.501   -0.6791
    10       738    169613498838    169613498838   0.25925   0.19767     52.044   -1.2220
    11      5109    371219228022    371219228022   0.16824   0.19366     52.329   -0.5236
    12      1040    588446673180    588446673180   0.16937   0.19174    363.817   -4.1032
    13      9160   2668697960290   2668697960290   0.14702   0.19129    144.414   -1.1808
    14      3866   2883576079342   2883576079342   0.08658   0.18920    293.545   -3.9760
    15      3577   1056007266512   1056007266512   0.08483   0.18800    242.310   -1.9655
    16      8244    168826717106    168826717106   0.32431   0.18757    287.243   -1.5312
    17      9178   2261676933382   2261676933382   0.17185   0.18655    349.272   -3.1879
    18      5276   1269830108412   1269830108412   0.14766   0.18581    268.662   -4.3509
    19      2035   3084393169956   3084393169956   0.11584   0.18453    138.114   -1.6633
    20      4735   2695713734972   2695713734972   0.19069   0.18451    146.402   -0.2093
    21      7930    305435507960    305435507960   0.27963   0.18381     78.529   -1.7433
    22      9894   3383789594114   3383789594114   0.13331   0.18134    276.907   -2.2683
    23      4942   3272302088500   3272302088500   0.18893   0.18117    131.500    2.0852
    24      7380   3410317029930   3410317029930   0.09251   0.18114    192.683   -1.5336
    25      3127    126568392766    126568392766   0.07359   0.17922    468.138   -4.1321
    26      3375   1595713580640   1595713580640   0.15527   0.17807    134.320   -2.2043
    27      2134   3743892946568   3743892946568   0.24464   0.17792    172.227   -1.8758
    28      8299   1894183295310   1894183295310   0.14464   0.17768     87.533    1.4520
    29      6815   3533783190968   3533783190968   0.18932   0.17768    129.513   -1.1265
    30      3283   1004813090988   1004813090988   0.24355   0.17761    226.520   -2.5840

# ── R3  (group size: 4,997; showing 30 extreme) ─────────────────
# Cool-core by entropy (K_core < 150); sorted by smallest K_core
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      8419   1798643472390   1798643472390   0.15637   0.07057     10.740    3.8230
