# Shortlist: 30 extreme halos per group
# Catalog: filtered_haloproperties.hdf5  (run_id 5ee0c456)
# Thresholds: delta1<0.07, delta2<0.07, K_core<150 keV cm2, TPI>0
# N per group: 30
#

# ── R1  (30 halos) ──────────────────────────────
# Selection: smallest delta_1 (most DM-relaxed)
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
    18      8138    741597337774    741597337774   0.03493   0.01805     32.621    4.7050
    19      6225   1579502078476   1579502078476   0.02262   0.04562     32.719    3.1321
    20      2923    796616786580    796616786580   0.02684   0.02330     32.834    3.8441
    21      7105   3427664130838   3427664130838   0.00336   0.02760     33.350    3.1398
    22      5085    843719677952    843719677952   0.03926   0.02809     33.661    3.5118
    23        58    704300940206    704300940206   0.05643   0.02784     33.704    2.3484
    24      2338   3085105143126   3085105143126   0.02727   0.03044     33.936    2.0946
    25      4884   3367583713508   3367583713508   0.02754   0.04021     34.746    1.0566
    26      9306   3593325849746   3593325849746   0.04042   0.01642     35.745    3.1008
    27      7140   3893765801836   3893765801836   0.05959   0.01010     36.041    2.6023
    28      9185   2433439554536   2433439554536   0.01895   0.02394     36.116    2.5582
    29      8504    861410788748    861410788748   0.02053   0.01806     36.555    3.7374
    30      7705   1702130131860   1702130131860   0.01698   0.04540     37.078    4.8301

# ── R1_andR4  (30 halos) ──────────────────────────────
# Selection: highest TPI (strongest TPI cool-core within R1)
# rank   row_idx      unique_tag         fof_tag   delta_1   delta_2     K_core       TPI
     1      3799   2440687158262   2440687158262   0.01029   0.05677     99.989   17.0942
     2      3244    370454222636    370454222636   0.02138   0.02004    168.150   10.5751
     3      8124    425347569102    425347569102   0.01696   0.04208    194.684   10.4533
     4      2144   3761991185136   3761991185136   0.06638   0.05122     65.247    9.7400
     5      6369   2489115425762   2489115425762   0.04986   0.04320     76.328    9.0981
     6      6263   2503649320454   2503649320454   0.04386   0.04726     78.343    9.0960
     7       657    160404307062    160404307062   0.02454   0.03982     93.214    8.8033
     8      5213   1558769449044   1558769449044   0.05707   0.01690    449.276    8.0974
